time,completed_rides,total_distance,total_cost
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,1,21,52.5
48,1,21,52.5
49,1,21,52.5
50,1,21,52.5
51,1,21,52.5
52,1,21,52.5
53,1,21,52.5
54,1,21,52.5
55,1,21,52.5
56,1,21,52.5
57,1,21,52.5
58,2,43,107.5
59,2,43,107.5
60,2,43,107.5
61,3,55,137.5
62,4,98,245.0
63,5,121,302.5
64,5,121,302.5
65,6,149,372.5
66,7,185,462.5
67,7,185,462.5
68,7,185,462.5
69,7,185,462.5
70,7,185,462.5
71,7,185,462.5
72,7,185,462.5
73,7,185,462.5
74,9,254,635.0
75,9,254,635.0
76,9,254,635.0
77,10,274,685.0
78,10,274,685.0
79,11,302,755.0
80,11,302,755.0
81,11,302,755.0
82,12,335,837.5
83,14,390,975.0
84,15,455,1137.5
85,15,455,1137.5
86,15,455,1137.5
87,16,481,1202.5
88,16,481,1202.5
89,17,524,1310.0
90,18,537,1342.5
91,18,537,1342.5
92,20,585,1462.5
93,20,585,1462.5
94,20,585,1462.5
95,20,585,1462.5
96,20,585,1462.5
97,21,652,1630.0
98,22,712,1780.0
99,22,712,1780.0
100,25,843,2107.5
101,25,843,2107.5
102,26,882,2205.0
103,26,882,2205.0
104,27,893,2232.5
105,27,893,2232.5
106,27,893,2232.5
107,29,940,2350.0
108,29,940,2350.0
109,29,940,2350.0
110,29,940,2350.0
111,32,1078,2695.0
112,33,1094,2735.0
113,33,1094,2735.0
114,33,1094,2735.0
115,33,1094,2735.0
116,34,1124,2810.0
117,34,1124,2810.0
118,34,1124,2810.0
119,34,1124,2810.0
120,34,1124,2810.0
121,35,1156,2890.0
122,35,1156,2890.0
123,35,1156,2890.0
124,35,1156,2890.0
125,35,1156,2890.0
126,37,1190,2975.0
127,40,1281,3202.5
128,41,1332,3330.0
129,41,1332,3330.0
130,43,1411,3527.5
131,44,1459,3647.5
132,44,1459,3647.5
133,48,1616,4040.0
134,48,1616,4040.0
135,48,1616,4040.0
136,49,1620,4050.0
137,49,1620,4050.0
138,50,1641,4102.5
139,51,1691,4227.5
140,51,1691,4227.5
141,54,1809,4522.5
142,54,1809,4522.5
143,56,1857,4642.5
144,57,1894,4735.0
145,58,1937,4842.5
146,58,1937,4842.5
147,61,2081,5202.5
148,62,2139,5347.5
149,64,2206,5515.0
150,65,2252,5630.0
151,65,2252,5630.0
152,66,2283,5707.5
153,66,2283,5707.5
154,69,2405,6012.5
155,70,2416,6040.0
156,70,2416,6040.0
157,71,2469,6172.5
158,72,2500,6250.0
159,73,2556,6390.0
160,73,2556,6390.0
161,75,2657,6642.5
162,78,2800,7000.0
163,78,2800,7000.0
164,81,2939,7347.5
165,81,2939,7347.5
166,82,2981,7452.5
167,82,2981,7452.5
168,83,3008,7520.0
169,85,3074,7685.0
170,87,3204,8010.0
171,88,3257,8142.5
172,88,3257,8142.5
173,88,3257,8142.5
174,90,3384,8460.0
175,91,3402,8505.0
176,92,3425,8562.5
177,93,3459,8647.5
178,94,3504,8760.0
