iter	RMSE
0	12.76995595
1	12.67295323
2	12.54007316
3	12.41650348
4	12.2893086
5	12.15015736
6	12.03948524
7	11.93523257
8	11.83920167
9	11.7135563
10	11.59059299
11	11.48416862
12	11.35108398
13	11.26090354
14	11.16634868
15	11.09239167
16	10.95866145
17	10.85623989
18	10.77546789
19	10.68161584
20	10.60074536
21	10.49717424
22	10.38592529
23	10.26526995
24	10.17905534
25	10.0824484
26	9.993229057
27	9.871564699
28	9.785180802
29	9.73343025
30	9.638130117
31	9.518531583
32	9.439079887
33	9.365640414
34	9.276534581
35	9.179881293
36	9.09003734
37	9.002925292
38	8.931655191
39	8.836430327
40	8.739086291
41	8.701423336
42	8.647864436
43	8.584235266
44	8.484543271
45	8.406955982
46	8.345295589
47	8.303772609
48	8.222102947
49	8.134937627
50	8.088507201
51	8.041152283
52	7.982572765
53	7.934383198
54	7.880550741
55	7.82394782
56	7.777688924
57	7.708455847
58	7.631085293
59	7.587881359
60	7.500955748
61	7.436634883
62	7.378108877
63	7.332389591
64	7.290149278
65	7.219638242
66	7.160694824
67	7.093935239
68	7.026158483
69	6.969483945
70	6.918129956
71	6.877232276
72	6.806423022
73	6.765968794
74	6.702477945
75	6.646158062
76	6.605707877
77	6.533929931
78	6.473805046
79	6.426456559
80	6.37742732
81	6.324528836
82	6.26489209
83	6.206331128
84	6.160751182
85	6.090426927
86	6.056101785
87	6.00570593
88	5.952849787
89	5.884720967
90	5.836609881
91	5.755330179
92	5.71789287
93	5.668708248
94	5.629058125
95	5.601518316
96	5.546900995
97	5.515837011
98	5.487003838
99	5.430638541
100	5.389643566
101	5.352554518
102	5.314780969
103	5.26557852
104	5.230190692
105	5.195833722
106	5.148428494
107	5.113473899
108	5.078151017
109	5.038168161
110	5.008088171
111	4.956601491
112	4.914957012
113	4.885916716
114	4.86253486
115	4.821798041
116	4.782641066
117	4.736296161
118	4.681151183
119	4.647671546
120	4.61306027
121	4.575016945
122	4.528858509
123	4.504717461
124	4.463006673
125	4.426099311
126	4.405011577
127	4.356161799
128	4.320986625
129	4.283783263
130	4.235362325
131	4.205167337
132	4.168510369
133	4.126025194
134	4.101863264
135	4.066598365
136	4.052105902
137	4.021993227
138	3.975475502
139	3.950305809
140	3.915292436
141	3.884550547
142	3.858757438
143	3.832266255
144	3.809837321
145	3.779729002
146	3.746923707
147	3.72880689
148	3.694707278
149	3.654823878
150	3.627799603
151	3.605942745
152	3.574674746
153	3.54962536
154	3.517759852
155	3.469047384
