iter	Passed	Remaining
0	86	38232
1	100	22351
2	115	17049
3	130	14417
4	148	13109
5	165	12099
6	180	11299
7	196	10732
8	211	10247
9	225	9813
10	241	9518
11	256	9240
12	270	9000
13	285	8775
14	299	8593
15	314	8440
16	329	8299
17	345	8199
18	359	8066
19	373	7937
20	388	7853
21	403	7765
22	418	7675
23	434	7616
24	448	7536
25	463	7468
26	478	7404
27	493	7356
28	508	7301
29	524	7250
30	539	7205
31	556	7179
32	570	7120
33	584	7063
34	598	7013
35	613	6970
36	628	6927
37	642	6883
38	657	6841
39	673	6815
40	689	6790
41	704	6756
42	718	6720
43	733	6688
44	749	6666
45	763	6624
46	779	6602
47	794	6572
48	811	6559
49	828	6549
50	846	6536
51	860	6504
52	874	6471
53	889	6440
54	904	6411
55	919	6388
56	935	6365
57	949	6338
58	964	6309
59	979	6282
60	994	6263
61	1010	6244
62	1025	6219
63	1040	6194
64	1055	6172
65	1070	6147
66	1084	6120
67	1099	6095
68	1114	6075
69	1130	6054
70	1146	6037
71	1160	6012
72	1176	5995
73	1192	5978
74	1207	5956
75	1221	5932
76	1236	5911
77	1251	5887
78	1265	5864
79	1280	5840
80	1294	5819
81	1309	5796
82	1324	5777
83	1339	5755
84	1354	5735
85	1369	5715
86	1383	5691
87	1398	5673
88	1413	5655
89	1428	5635
90	1443	5614
91	1457	5592
92	1472	5574
93	1487	5555
94	1503	5538
95	1518	5520
96	1533	5501
97	1550	5490
98	1566	5473
99	1581	5454
100	1595	5433
101	1610	5415
102	1624	5393
103	1639	5374
104	1654	5355
105	1668	5336
106	1684	5320
107	1698	5300
108	1712	5280
109	1727	5262
110	1743	5245
111	1758	5228
112	1774	5212
113	1788	5193
114	1804	5178
115	1821	5164
116	1836	5149
117	1853	5135
118	1867	5115
119	1883	5100
120	1898	5082
121	1913	5065
122	1929	5050
123	1943	5030
124	1958	5012
125	1973	4996
126	1987	4977
127	2002	4960
128	2017	4942
129	2033	4926
130	2047	4908
131	2062	4890
132	2077	4873
133	2092	4855
134	2106	4837
135	2121	4821
136	2137	4805
137	2153	4790
138	2167	4772
139	2182	4754
140	2197	4738
141	2212	4720
142	2227	4704
143	2242	4686
144	2258	4672
145	2272	4654
146	2287	4636
147	2301	4618
148	2315	4600
149	2330	4584
150	2345	4566
151	2360	4549
152	2374	4532
153	2388	4513
154	2403	4496
155	2418	4479
156	2432	4462
157	2447	4445
158	2463	4430
159	2478	4414
160	2492	4397
161	2507	4379
162	2522	4363
163	2538	4349
164	2554	4335
165	2570	4320
166	2586	4304
167	2600	4288
168	2616	4272
169	2630	4255
170	2644	4237
171	2660	4222
172	2675	4206
173	2690	4190
174	2705	4173
175	2721	4159
176	2737	4144
177	2751	4126
178	2766	4110
179	2780	4094
180	2796	4078
181	2811	4062
182	2826	4047
183	2842	4031
184	2858	4017
185	2875	4003
186	2889	3986
187	2904	3970
188	2920	3956
189	2936	3941
190	2953	3928
191	2969	3913
192	2989	3902
193	3006	3889
194	3021	3874
195	3044	3867
196	3060	3852
197	3078	3840
198	3092	3822
199	3106	3805
200	3122	3790
201	3138	3774
202	3152	3758
203	3167	3742
204	3183	3726
205	3198	3710
206	3213	3694
207	3228	3678
208	3243	3662
209	3259	3647
210	3274	3631
211	3289	3615
212	3304	3599
213	3318	3582
214	3333	3566
215	3347	3549
216	3363	3533
217	3378	3517
218	3394	3502
219	3408	3486
220	3423	3469
221	3438	3453
222	3452	3437
223	3467	3420
224	3482	3405
225	3497	3388
226	3512	3373
227	3528	3358
228	3545	3344
229	3560	3328
230	3576	3312
231	3590	3296
232	3606	3281
233	3621	3265
234	3635	3249
235	3650	3232
236	3665	3217
237	3681	3201
238	3695	3185
239	3709	3168
240	3724	3153
241	3738	3136
242	3753	3120
243	3769	3105
244	3784	3089
245	3799	3073
246	3815	3058
247	3829	3042
248	3844	3026
249	3859	3010
250	3875	2995
251	3890	2979
252	3905	2963
253	3920	2948
254	3935	2932
255	3950	2916
256	3964	2900
257	3981	2885
258	3995	2869
259	4010	2853
260	4025	2837
261	4040	2821
262	4055	2806
263	4070	2790
264	4086	2775
265	4100	2759
266	4115	2743
267	4129	2727
268	4144	2711
269	4158	2695
270	4174	2680
271	4190	2665
272	4204	2649
273	4219	2633
274	4235	2618
275	4250	2602
276	4265	2586
277	4279	2570
278	4293	2554
279	4309	2539
280	4324	2523
281	4339	2508
282	4354	2492
283	4369	2477
284	4385	2461
285	4399	2446
286	4414	2430
287	4429	2414
288	4445	2399
289	4461	2384
290	4476	2369
291	4491	2353
292	4506	2337
293	4521	2322
294	4536	2306
295	4551	2290
296	4565	2275
297	4580	2259
298	4596	2244
299	4611	2228
300	4625	2213
301	4642	2198
302	4656	2182
303	4671	2166
304	4686	2151
305	4702	2136
306	4719	2121
307	4734	2106
308	4749	2090
309	4763	2074
310	4779	2059
311	4793	2043
312	4808	2027
313	4824	2012
314	4839	1997
315	4855	1982
316	4870	1966
317	4884	1950
318	4899	1935
319	4915	1920
320	4930	1904
321	4945	1889
322	4961	1874
323	4978	1859
324	4993	1843
325	5009	1828
326	5024	1813
327	5041	1798
328	5056	1782
329	5070	1766
330	5086	1751
331	5102	1736
332	5118	1721
333	5137	1707
334	5152	1691
335	5167	1676
336	5183	1661
337	5197	1645
338	5213	1630
339	5228	1614
340	5242	1598
341	5257	1583
342	5272	1567
343	5287	1552
344	5302	1537
345	5318	1521
346	5332	1506
347	5347	1490
348	5362	1475
349	5377	1459
350	5393	1444
351	5408	1429
352	5424	1413
353	5439	1398
354	5454	1382
355	5470	1367
356	5485	1352
357	5501	1337
358	5517	1321
359	5533	1306
360	5548	1291
361	5564	1275
362	5578	1260
363	5592	1244
364	5607	1229
365	5623	1213
366	5639	1198
367	5654	1183
368	5669	1167
369	5684	1152
370	5700	1137
371	5715	1121
372	5730	1106
373	5745	1090
374	5760	1075
375	5774	1059
376	5791	1044
377	5807	1029
378	5823	1014
379	5841	999
380	5858	984
381	5875	968
382	5894	954
383	5911	939
384	5928	923
385	5944	908
386	5958	893
387	5973	877
388	5987	861
389	6002	846
390	6017	831
391	6031	815
392	6046	800
393	6062	784
394	6078	769
395	6093	753
396	6108	738
397	6122	723
398	6137	707
399	6151	692
400	6166	676
401	6181	661
402	6196	645
403	6211	630
404	6226	614
405	6243	599
406	6258	584
407	6273	568
408	6288	553
409	6302	538
410	6318	522
411	6333	507
412	6348	491
413	6364	476
414	6379	461
415	6394	445
416	6409	430
417	6424	414
418	6439	399
419	6454	384
420	6469	368
421	6484	353
422	6499	338
423	6515	322
424	6530	307
425	6546	291
426	6562	276
427	6576	261
428	6592	245
429	6607	230
430	6623	215
431	6639	199
432	6653	184
433	6668	169
434	6683	153
435	6699	138
436	6714	122
437	6732	107
438	6747	92
439	6762	76
440	6776	61
441	6790	46
442	6807	30
443	6821	15
444	6836	0
