time,completed_rides,total_distance,total_cost
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,1,7,17.5
47,1,7,17.5
48,1,7,17.5
49,1,7,17.5
50,1,7,17.5
51,1,7,17.5
52,1,7,17.5
53,2,32,80.0
54,2,32,80.0
55,2,32,80.0
56,2,32,80.0
57,2,32,80.0
58,3,43,107.5
59,3,43,107.5
60,3,43,107.5
61,3,43,107.5
62,3,43,107.5
63,3,43,107.5
64,3,43,107.5
65,3,43,107.5
66,3,43,107.5
67,3,43,107.5
68,3,43,107.5
69,3,43,107.5
70,4,56,140.0
71,4,56,140.0
72,4,56,140.0
73,4,56,140.0
74,4,56,140.0
75,4,56,140.0
76,4,56,140.0
77,4,56,140.0
78,4,56,140.0
79,5,77,192.5
80,5,77,192.5
81,5,77,192.5
82,5,77,192.5
83,5,77,192.5
84,5,77,192.5
85,5,77,192.5
86,5,77,192.5
87,5,77,192.5
88,5,77,192.5
89,6,105,262.5
90,7,141,352.5
91,9,171,427.5
92,9,171,427.5
93,10,180,450.0
94,10,180,450.0
95,10,180,450.0
96,12,252,630.0
97,12,252,630.0
98,12,252,630.0
99,12,252,630.0
100,14,311,777.5
101,14,311,777.5
102,17,383,957.5
103,17,383,957.5
104,18,433,1082.5
105,18,433,1082.5
106,21,530,1325.0
107,21,530,1325.0
108,22,577,1442.5
109,22,577,1442.5
110,22,577,1442.5
111,23,602,1505.0
112,24,611,1527.5
113,26,666,1665.0
114,28,722,1805.0
115,28,722,1805.0
116,29,745,1862.5
117,31,790,1975.0
118,31,790,1975.0
119,32,830,2075.0
120,33,857,2142.5
121,35,900,2250.0
122,36,938,2345.0
123,36,938,2345.0
124,37,970,2425.0
125,38,1007,2517.5
126,39,1048,2620.0
127,41,1111,2777.5
128,45,1267,3167.5
129,47,1392,3480.0
130,48,1430,3575.0
131,50,1509,3772.5
132,51,1538,3845.0
133,51,1538,3845.0
134,51,1538,3845.0
135,51,1538,3845.0
136,51,1538,3845.0
137,51,1538,3845.0
138,51,1538,3845.0
139,51,1538,3845.0
140,52,1562,3905.0
141,53,1592,3980.0
142,55,1658,4145.0
143,56,1699,4247.5
144,58,1751,4377.5
145,58,1751,4377.5
146,60,1825,4562.5
147,62,1888,4720.0
148,63,1919,4797.5
149,64,1944,4860.0
150,65,1985,4962.5
151,68,2027,5067.5
152,69,2058,5145.0
153,70,2075,5187.5
154,73,2168,5420.0
155,74,2199,5497.5
156,74,2199,5497.5
157,74,2199,5497.5
158,74,2199,5497.5
159,75,2217,5542.5
160,79,2344,5860.0
161,80,2387,5967.5
162,81,2420,6050.0
163,83,2482,6205.0
164,83,2482,6205.0
165,83,2482,6205.0
166,83,2482,6205.0
167,83,2482,6205.0
168,84,2509,6272.5
169,85,2516,6290.0
170,86,2562,6405.0
171,88,2625,6562.5
172,89,2664,6660.0
173,91,2710,6775.0
174,92,2737,6842.5
175,93,2763,6907.5
176,93,2763,6907.5
177,93,2763,6907.5
178,96,2861,7152.5
179,98,2876,7190.0
180,99,2952,7380.0
181,101,3049,7622.5
