time,completed_rides,total_distance,total_cost
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,1,16,40.0
24,1,16,40.0
25,1,16,40.0
26,2,21,52.5
26,2,21,52.5
27,2,21,52.5
28,2,21,52.5
29,2,21,52.5
30,2,21,52.5
31,2,21,52.5
32,2,21,52.5
33,2,21,52.5
34,2,21,52.5
35,3,35,87.5
35,3,35,87.5
36,3,35,87.5
37,3,35,87.5
38,3,35,87.5
39,3,35,87.5
40,3,35,87.5
41,3,35,87.5
42,3,35,87.5
43,3,35,87.5
44,3,35,87.5
45,3,35,87.5
46,3,35,87.5
47,3,35,87.5
48,3,35,87.5
49,3,35,87.5
50,3,35,87.5
51,4,59,147.5
51,5,80,200.0
51,5,80,200.0
52,5,80,200.0
53,5,80,200.0
54,5,80,200.0
55,5,80,200.0
56,5,80,200.0
57,5,80,200.0
58,6,86,215.0
58,6,86,215.0
59,6,86,215.0
60,6,86,215.0
61,7,93,232.5
61,7,93,232.5
62,7,93,232.5
63,7,93,232.5
64,7,93,232.5
65,7,93,232.5
66,8,114,285.0
66,8,114,285.0
67,9,133,332.5
67,9,133,332.5
68,9,133,332.5
69,9,133,332.5
70,9,133,332.5
71,9,133,332.5
72,9,133,332.5
73,10,171,427.5
73,10,171,427.5
74,10,171,427.5
75,11,187,467.5
75,12,197,492.5
75,13,229,572.5
75,13,229,572.5
76,13,229,572.5
77,14,260,650.0
77,14,260,650.0
78,14,260,650.0
79,15,294,735.0
79,15,294,735.0
80,16,339,847.5
80,16,339,847.5
81,17,370,925.0
81,17,370,925.0
82,17,370,925.0
83,18,419,1047.5
83,19,437,1092.5
83,19,437,1092.5
84,19,437,1092.5
85,19,437,1092.5
86,19,437,1092.5
87,20,486,1215.0
87,20,486,1215.0
88,21,511,1277.5
88,21,511,1277.5
89,21,511,1277.5
90,22,533,1332.5
90,23,550,1375.0
90,23,550,1375.0
91,24,597,1492.5
91,24,597,1492.5
92,24,597,1492.5
93,24,597,1492.5
94,24,597,1492.5
95,24,597,1492.5
96,24,597,1492.5
97,25,624,1560.0
97,26,649,1622.5
97,27,699,1747.5
97,27,699,1747.5
98,28,728,1820.0
98,28,728,1820.0
99,28,728,1820.0
100,29,784,1960.0
100,29,784,1960.0
101,29,784,1960.0
102,29,784,1960.0
103,30,859,2147.5
103,30,859,2147.5
104,30,859,2147.5
105,31,882,2205.0
105,31,882,2205.0
106,31,882,2205.0
107,32,910,2275.0
107,33,984,2460.0
107,33,984,2460.0
108,34,1010,2525.0
108,35,1053,2632.5
108,35,1053,2632.5
109,35,1053,2632.5
110,35,1053,2632.5
111,35,1053,2632.5
112,35,1053,2632.5
113,36,1109,2772.5
113,37,1121,2802.5
113,37,1121,2802.5
114,37,1121,2802.5
115,38,1171,2927.5
115,38,1171,2927.5
116,39,1193,2982.5
116,39,1193,2982.5
117,40,1227,3067.5
117,41,1246,3115.0
117,41,1246,3115.0
118,42,1291,3227.5
118,42,1291,3227.5
119,43,1336,3340.0
119,44,1356,3390.0
119,44,1356,3390.0
120,44,1356,3390.0
121,45,1368,3420.0
121,46,1396,3490.0
121,47,1442,3605.0
121,48,1478,3695.0
121,48,1478,3695.0
122,48,1478,3695.0
123,49,1538,3845.0
123,50,1584,3960.0
123,50,1584,3960.0
124,51,1619,4047.5
124,52,1658,4145.0
124,52,1658,4145.0
125,53,1689,4222.5
125,53,1689,4222.5
