time,completed_rides,total_distance,total_cost
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,1,6,15.0
41,1,6,15.0
42,1,6,15.0
43,2,16,40.0
44,2,16,40.0
45,2,16,40.0
46,2,16,40.0
47,3,24,60.0
48,3,24,60.0
49,3,24,60.0
50,3,24,60.0
51,3,24,60.0
52,3,24,60.0
53,3,24,60.0
54,3,24,60.0
55,3,24,60.0
56,4,73,182.5
57,5,93,232.5
58,5,93,232.5
59,5,93,232.5
60,5,93,232.5
61,5,93,232.5
62,5,93,232.5
63,5,93,232.5
64,5,93,232.5
65,5,93,232.5
66,6,140,350.0
67,6,140,350.0
68,8,185,462.5
69,8,185,462.5
70,8,185,462.5
71,9,211,527.5
72,9,211,527.5
73,9,211,527.5
74,9,211,527.5
75,10,258,645.0
76,10,258,645.0
77,12,329,822.5
78,12,329,822.5
79,13,335,837.5
80,14,341,852.5
81,15,356,890.0
82,15,356,890.0
83,15,356,890.0
84,15,356,890.0
85,16,380,950.0
86,17,404,1010.0
87,17,404,1010.0
88,18,431,1077.5
89,18,431,1077.5
90,18,431,1077.5
91,18,431,1077.5
92,18,431,1077.5
93,19,465,1162.5
94,20,521,1302.5
95,20,521,1302.5
96,20,521,1302.5
97,21,546,1365.0
98,21,546,1365.0
99,22,569,1422.5
100,22,569,1422.5
101,22,569,1422.5
102,23,627,1567.5
103,23,627,1567.5
104,24,677,1692.5
105,24,677,1692.5
106,26,781,1952.5
107,29,848,2120.0
108,29,848,2120.0
109,30,890,2225.0
110,31,926,2315.0
111,32,936,2340.0
112,35,1016,2540.0
113,37,1087,2717.5
114,38,1116,2790.0
115,39,1174,2935.0
116,40,1211,3027.5
117,40,1211,3027.5
118,40,1211,3027.5
119,40,1211,3027.5
120,42,1245,3112.5
121,42,1245,3112.5
122,42,1245,3112.5
123,44,1297,3242.5
124,45,1354,3385.0
125,45,1354,3385.0
126,46,1369,3422.5
127,48,1411,3527.5
128,48,1411,3527.5
129,50,1497,3742.5
130,50,1497,3742.5
131,51,1529,3822.5
132,52,1564,3910.0
133,53,1608,4020.0
134,54,1648,4120.0
135,55,1687,4217.5
136,57,1742,4355.0
137,58,1787,4467.5
138,58,1787,4467.5
139,60,1854,4635.0
140,60,1854,4635.0
141,63,1947,4867.5
142,65,1999,4997.5
143,66,2027,5067.5
144,67,2066,5165.0
145,67,2066,5165.0
146,67,2066,5165.0
147,67,2066,5165.0
148,68,2104,5260.0
149,71,2258,5645.0
150,72,2279,5697.5
151,73,2325,5812.5
152,74,2354,5885.0
153,75,2398,5995.0
154,76,2414,6035.0
155,76,2414,6035.0
156,77,2443,6107.5
157,79,2499,6247.5
158,81,2594,6485.0
159,82,2618,6545.0
160,86,2802,7005.0
161,87,2841,7102.5
162,87,2841,7102.5
163,89,2923,7307.5
164,90,2947,7367.5
165,91,2988,7470.0
166,93,3021,7552.5
167,93,3021,7552.5
168,94,3045,7612.5
169,96,3155,7887.5
170,97,3195,7987.5
171,97,3195,7987.5
172,98,3220,8050.0
173,98,3220,8050.0
174,99,3263,8157.5
175,100,3276,8190.0
176,102,3396,8490.0
177,102,3396,8490.0
